airline_sentiment,Cleaned_text
1,"['worried,', ""it'"", 'been', 'great', 'ride', 'plane', 'with', 'great', 'crew.', 'airlin', 'should', 'like', 'this.']"
1,"['awesome.', 'flew', 'yall', 'morning.', 'correct', 'bill']"
0,"['watch', 'some', 'best', 'student', 'film', 'countri', '35,000', 'feet!', '#cmfat35000feet']"
0,"['first', 'time', 'fli', 'all.', 'have', 'differ', 'rate/polici', 'media', 'bags?', 'thank']"
-1,"['what', 'go', 'with', 'custom', 'service?', 'there', 'anyway', 'speak', 'human', 'asap?', 'thank', 'you.']"
0,"['what', 'happen', 'doom?!']"
-1,"[""can't"", 'supp', 'travel', 'like', 'have', 'custom', 'servic', 'like', '#neverflyvirginforbusi']"
1,"[""i'v"", 'appli', 'more', 'then', 'onc', 'member', '#inflight', 'crew', 'team...im', '100%', 'interested.', '#flightattend', '#dreampath']"
-1,"[""you'r"", 'best!!', 'whenev', '(begrudgingly)', 'other', 'airlin', 'delay', 'late', 'flight']"
-1,"['have', 'interest', 'fli', 'with', 'after', 'this.', 'will', 'cancel', 'flight', 'next', 'four', 'flight', 'planned.#neverflyvirginforbusi']"
-1,"['disappoint', 'experi', 'which', 'will', 'share', 'with', 'everi', 'busi', 'travel', 'meet.', '#neverflyvirgin']"
-1,"['have', 'troubl', 'ad', 'thi', 'flight', 'wife', 'book', 'elev', 'account.', 'help?']"
0,"[""can't"", 'bring', 'reserv', 'onlin', 'use', 'flight', 'book', 'problem', 'code']"
0,"['random', ""what'"", 'distribut', 'elev', 'avatars?', 'that', 'kitti', 'disproportion', 'share']"
0,"['&lt;3', 'fli', 'life', 'happen', 'tri', '#chang', 'trip', 'jperhi', 'help.va', 'home', 'page', 'will']"
-1,"['site', 'down?', 'when', 'will', 'back']"
0,"['""you', 'down', 'with', 'rnp?""', '""yeah', 'know', 'me!""']"
0,"['point', 'elev', 'account', 'most', 'recent', 'flight,', 'flight', 'point', 'account?']"
-1,"['like', 'interest', 'video', 'just', 'disappoint', 'cancel', 'flightl', 'flight', 'when', 'other', 'flight', 'went', 'saturday']"
-1,"['just', 'land', 'lax,', 'hour', 'after', 'should', 'been', 'here.', 'your', 'late', 'flight', 'check', 'busi', 'travel', 'friendli', '#nomorevirgin']"
0,"['flight', 'redirected?']"
-1,"['your', 'websit', 'down?', 'btw,', 'your', 'websit', ""isn't"", 'great', 'user', 'experience.', 'time', 'anoth', 'redesign.']"
-1,"[""can't"", 'check', 'bag.', 'your', 'websit', ""isn't"", 'working.', ""i'v"", 'tri', 'both', 'desktop', 'mobil']"
-1,"['scan', 'passeng', 'leav', 'plane', 'than', 'told', 'someon', 'remov', 'their', 'from', 'class', 'bin?', '#uncomfort']"
-1,"['what', 'your', 'phone', 'number.', ""can't"", 'find', 'call', 'about', 'flight', 'reservation.']"
-1,"['anyon', 'do', 'anyth', 'there', 'today?', 'websit', 'useless', 'answer', 'phone.']"
0,"['tri', 'princ', 'ressie.', 'thi', 'thursday', 'from']"
-1,"['must', 'travel', 'miss', 'flight', 'late', 'flight', 'check', 'bag?', 'miss', 'morn', 'appoint', 'lost', 'business.', '#sfo2lax']"
0,"['check', 'music']"
-1,"[""how'"", 'direct', 'flight', 'fll-&gt;sfo', 'have', 'unexpect', 'layov', 'vega', 'fuel', 'peep', 'next', 'bought', 'vega', 'flight.', '#sneaki']"
-1,"['your', 'late', 'flight', 'check', 'just', 'lost', 'business.', 'miss', 'flight', 'apt.', 'three', 'other', 'peopl', 'flight', 'same', 'exp.']"
1,"['amaz', 'custom', 'service,', 'again!', 'raeann', ""she'"", 'best!', '#customerservic', '#virginamerica', '#fli']"
-1,"['call', 'your', 'servic', 'line', 'hung', 'thi', 'awesome.', '#sarcasm']"
-1,"['your', 'site', 'tripping.', 'tri', 'check', 'get', 'plain', 'text', 'version.', 'reluct', 'enter', 'card', 'info.']"
0,"['schedul', 'flight', 'today.', 'chang', '24th', 'weather.', 'look', 'like', 'flight', 'still']"
1,"['getaway', 'deal', 'through', 'may,', 'from', 'one-way.', 'lot', 'cool', 'citi', '#cheapflight', '#farecompar']"
0,"['getaway', 'deal', 'through', 'may,', 'from', 'one-way.', 'lot', 'cool', 'citi', '#cheapflight', '#farecompar']"
1,"['getaway', 'deal', 'through', 'may,', 'from', 'one-way.', 'lot', 'cool', 'citi', '#cheapflight', '#farecompar']"
0,"['getaway', 'deal', 'through', 'may,', 'from', 'one-way.', 'lot', 'cool', 'citi', '#cheapflight', '#farecompar']"
1,"['have', 'great', 'week']"
1,"['come', 'back', '#phl', 'already.', 'need', 'take', 'thi', 'horribl', 'cold.', '#pleasecomeback']"
-1,"['should', 'concern', 'that', 'about', 'plane', 'that', 'need', 'delay', '""tech', 'stop""?']"
1,"['best', 'airlin', 'have', 'flown', 'on.easi', 'chang', 'your', 'reservation,help', 'repres', '&amp;', 'comfort', 'fli', 'experi']"
1,"['again!', 'anoth', 'kick', 'butt!', 'naelah', 'repres', 'your', 'team', 'beautifully!!', 'thank', 'you!!!']"
1,"['your', 'beauti', 'front-end', 'design', 'down', 'right', 'now;', 'cool', 'still', 'book', 'ticket', 'your', 'back-end', 'secure.']"
1,"['love', 'team', 'run', 'gate', 'tonight.', 'wait', 'delay', 'flight,', 'they', 'kept', 'thing', 'entertain']"
-1,"['anoth', 'browser!', '2015', '&amp;', 'brand', 'with', 'reput', 'built', 'tech', 'respons', ""doesn't"", 'have', 'cross-brows', 'compat', 'website?']"
-1,"['flight', 'flight', 'book', 'problem', 'site', 'total', 'down.', 'folks,', 'what', 'problem?']"
-1,"['like', 'custom', 'servic', 'delay', 'just', 'connect', 'passeng', 'seem', 'long.', 'va370']"
1,"['thank', 'your', 'outstand', 'nyc-jfk', 'crew', 'move', 'mountain', 'home', 'francisco', 'tonight!']"
1,"['have', 'absolut', 'best', 'team', 'custom', 'servic', 'ever.', 'everi', 'time', 'with', 'delighted.', 'thank', 'you!']"
0,"['provid', 'complimentari', 'upgrad', 'first', 'class,', 'there', 'avail', 'seats?']"
-1,"['need', 'chang', 'flight', 'that', 'schedul', 'hour', 'wait', 'time', 'phone.', 'call', 'intern.', 'help!!']"
1,"['complet', 'awesom', 'experi', 'last', 'month', 'bos-la', 'nonstop.', 'thank', 'such', 'awesom', 'flight', 'depart', 'time.', '#vabeatsjblu']"
0,"['watch', '#oscars2015', 'jfk-&gt;sfo', 'flight?']"
0,"['flight', 'cancel', 'flightl', 'what']"
-1,"['fail', 'your', 'custom', 'becaus', 'your', 'check', 'process', 'doe', 'link', 'pre-check.']"
-1,"['too!', 'terribl', 'airline!', 'just', 'gave', 'hotel', 'hotlin', 'number', 'said', 'sorri']"
0,"['flight', 'number', 'from', 'cabo', 'luca', 'arriv', 'yet?']"
-1,"['your', 'assist', 'yesterday', 'when', 'cancel', 'flightl', 'flight', 'give', 'hotel', 'hotlin', 'shame', 'you!']"
-1,"['anoth', 'delay', 'flight?', '#likingyoulessandless']"
-1,"['need', 'regist', 'servic', 'first', 'class', 'ticket', 'from', '&gt;', 'dulles.', 'phone', 'queue', 'hour', 'longer.', 'advis']"
1,"['rock', 'make', 'watch', '#oscar', 'flight!!', '#redcarpet', '#oscar', '#oscars2015']"
0,"['drop', 'track', 'you...']"
1,"['always!!!', 'xoxo']"
-1,"[""can't"", 'book', 'seat', 'your', 'flight', 'when', 'them', 'even', 'dure', 'check', 'creat', 'much', 'anxiety!', '#frustrat']"
-1,"[""you'd"", 'think', 'pay', 'extra', '$100', 'buck', 'luggag', 'might', 'afford', 'hire', 'extra', 'hand', '#lame']"
1,"['best', 'custom', 'servic', 'world!', '#irmafromdalla', 'take', 'cake!!!']"
0,"['find', 'that', 'sooner', 'than', 'midnight', 'monday?', 'that', 'would', 'great', 'custom', 'servic']"
-1,"['pleas', 'provid', 'statu', 'flight', '769.', 'cant', 'imagin', ""it'"", 'time', 'indic', 'dude', 'weather', 'here', 'and/or', 'dalla']"
1,"['have', 'amaz', 'staff', '&amp;', 'super', 'help', 'just', '#princesshalf', 'they', 'have', 'spoil', 'with', 'comfort!!!']"
-1,"['paid', 'premium', 'across', 'country,', 'cancel', 'flight', 'flight', 'offer', 'check', 'upgrad', 'love?', 'face']"
-1,"['question:', 'possibl', 'book', 'seat', 'infant', 'under', ""it'"", 'give', 'option', 'want', 'seat', 'him.']"
1,"['alway', 'have', 'together!!!', ""you'r"", 'welcome!', ""you'r"", 'welcome.']"
1,"['#flight', 'home', '#sunset', '#globe', '#backtowint', 'back', '#work!', '#refresh']"
-1,"[""don't"", 'understand', 'need', 'give', 'answer', 'have', 'damag', 'luggag', 'policy.']"
-1,"['doe', 'that', 'mean', ""don't"", 'have', 'polici', 'destroy', 'luggage?']"
0,"['there', 'special', 'assist', 'travel', 'alon', 'kid', 'infant?', 'prioriti', 'boarding?']"
1,"['thank', 'check', 'ticket', 'purchas', 'custom', 'happi']"
0,"['your', 'websit', 'ever', 'come', 'back', 'online?']"
0,"['flight', 'from', 'love', 'field', 'definit', 'cancel', 'flightl', 'monday,', 'februari']"
0,"['flight', '0769', 'time?']"
0,"['driver', 'licens', 'expir', 'littl', 'over', 'month.', 'friday', 'morn', 'use', 'expir', 'license?']"
-1,"['have', 'problem', 'flight', 'book', 'problem', 'site.', 'keep', 'give', 'error', 'contact', 'phone.', 'phone', 'minut', 'wait.']"
-1,"['reschedul', 'cancel', 'flightl', 'flight', 'online?', 'chang', 'button', 'grey', 'out!']"
-1,"['rang,', 'there', 'wait', 'minutes!!', 'book', 'same', 'ticket', 'through', 'vendor,', 'your', 'site']"
-1,"['flight', 'were', 'told)', '4:50', 'today..,check', 'email', '4;50', 'tomorrow.', 'thi', 'unacceptable.']"
-1,"['flight', 'into', 'cancel', 'flighted.', ""we'r"", 'stuck', 'dallas.', 'call', 'reschedule,', 'told', 'could', 'flight', 'today...(1/2)']"
-1,"[""don't"", 'pair', 'includ', 'wine?!', 'onli', 'white', 'offer', '#redwineisbett']"
-1,"['websit', 'down?']"
-1,"['your', 'site', 'seem', 'littl', 'wonk', 'right', 'now.', 'want', 'have', 'look.', 'tri', 'browsers.', 'css?']"
-1,"['disappoint', 'that', 'agent', 'design', 'silver', 'statu', 'check', 'line', 'close', 'assist', 'paseng']"
0,"['plan', 'includ', 'austin', 'dalla', 'rout', 'topnew', 'arab', '#emir']"
-1,"['normal', 'receiv', 'repli', 'from', 'central', 'baggag', '#baggageissu', '#smh']"
-1,"['logan', 'airport', 'wait', 'checkin', 'flight.', 'checkin', 'desk', 'open', '!!!!!', 'why?!']"
0,"['jump', 'into', 'dallas-austin', 'market']"
0,"['beat', 'views,', 'take', '#southwestair', ""investor'"", 'busi', 'daili']"
0,"['lister', 'show', 'monday', '1230']"
0,"['begin', 'dallas-austin', '#flight', 'april', '88.9', 'ketr']"
-1,"['congrats,', 'just', 'busi', 'from', 'sfo/lax.', 'fuck', 'fl1289', 'sfo/ewr', 'clincher...']"
-1,"['appli', 'over', 'week', 'ago.', ""haven't"", 'heard', 'back', 'fli', 'thi', 'week', '#disappoint']"
0,"['love', 'know', 'what', 'your', 'polici', 'damag', 'luggage.']"
1,"['thank', 'follow']"
-1,"['mani', 'apologies!', 'wors', 'airlines!', ""don't"", 'even', 'respond', 'your', 'cudtom']"
-1,"['shame', 'make', 'peopl', 'spend', 'money', 'strand', 'citi', 'when', 'other', 'airlin', 'land', 'jfk!', 'will', 'reimburs']"
0,[]
0,"['pleas', 'have', 'flight', 'have', 'choic', 'southwest', 'vega']"
-1,"['take', 'day', 'your', 'confirm', 'email.', 'when', 'inquir', 'after', 'week', 'claim', 'weeks!']"
-1,"['flight', 'from', '&gt;', 'tomorrow', 'cancel', 'flightled.', 'notification;', 'wait', 'time', 'hour.', 'will', 'rebook', 'anoth', 'airline?']"
1,"['you’v', 'your', 'match.', 'statu', 'anoth', 'airline?', 'upgrad', '(+restr):']"
1,"['onli', 'fly!', '#elev', '#gold']"
0,"['onli', 'guy', 'flight', 'from', 'cmh.']"
-1,"['""apologies""', 'be', 'thrown', 'custom', 'from', 'what', 'see.veri', 'sad.', 'thank', 'nothing.', 'worst', 'airlin', 'ever.']"
-1,"['flight', 'stuff', 'wrong', 'noth', 'about', '#worst', '#flight', 'ever']"
0,"['have', 'issu', 'find', 'miss', 'item', 'plane.', 'help', 'find', 'which', 'airport', 'plane', 'head', 'next?']"
1,"['will', 'match', '#americanairlin', 'status?', 'cool!']"
0,"[""“:you'v"", 'your', 'match.got', 'statu', 'anoth', 'airline?', 'upgrad']"
-1,"['tri', 'book', 'flight', 'with', 'guy', 'your', 'websit', ""won't"", 'me...', 'about', 'lose', 'busi']"
-1,['suck!']
1,['thanks!']
-1,"['just', ""dm'd."", 'same', 'issu', 'persisting.']"
-1,"['becaus', 'never', ""rec'd"", 'cancel', 'flightlat', 'notic', 'were', 'left', 'option', 'drive', 'kid']"
-1,"['tri', 'book', 'flight', '&amp;', 'your', 'site', 'down']"
-1,"['have', 'flight', 'fli', 'into', 'boston', 'tomorrow?', 'need', 'home', 'cancel', 'flightl', 'flight', ""didn't"", 'anyth']"
-1,"['stink.', 'flight', 'cancel', 'flight', 'from', 'notif', 'abil', 'rebook', '#disappointed.', '#expect', 'better']"
1,"['love', 'your', ""guy'"", 'song!', ""we'r"", 'danc', 'high', 'school', 'danc', 'revu']"
-1,"['your', 'websit', 'down', 'tri', 'check']"
1,"['done!', 'thank', 'quick', 'response,', 'appar', 'faster', 'than', 'sit', 'hold']"
0,"['nervou', 'about', 'flight', 'from', 'get', 'cancel', 'flightl', 'tomorrow!', 'just', 'sent', 'help']"
1,"['cool', 'pictur', 'anoth', 'virginamerica', 'plane', 'wing.', 'what', 'site!']"
1,"['keep', 'great', 'work']"
1,"['good', 'your', 'peopl', 'field', 'amaz', 'under', 'pressur', '❤️from', 'texa', '#beatstheoth', 'crisi', 'pleas']"
1,"['thank', 'great', 'flight', 'from', 'boston!', 'pilot', 'great', 'land', 'snow.', 'back', 'now?', '#serious']"
0,"['pleas', 'york', 'area', 'befor', 'monday', 'afternoon']"
1,"['thank', 'much', 'awesom', 'support,', 'guy', 'rock!']"
-1,"['seat', ""don't"", 'reclin', 'should', 'mention', 'that', 'your', 'websit', '#soreback']"
-1,"['flight', 'delay', 'hour', 'mechan', 'problems.', 'handl', 'like', 'pro', 'could', 'have', 'toss', 'free', 'drink.']"
-1,"['cancel', 'flight', 'flight', 'today?', 'precipit', 'scare', '❄️❄️❄️']"
1,"['twitter', 'team.', 'guy', 'kill', 'reschedul', 'asap.', 'thank', 'you!']"
-1,"['guy', 'charg', '$100', 'reschedul', 'flight', 'that', 'then', 'cancel', 'flight', 'refus', 'refund', ""what'"", 'deal?']"
-1,"['can’t', 'access', 'your', 'websit', 'from', 'safari', 'iphon', 'seem', 'work', 'ipad.', 'need', 'iphon', 'passbook.']"
0,"['ipad', 'iphone,', 'click', 'checkin', 'link', 'email', 'receiv', '24hr', 'befor', 'flight']"
-1,"['your', 'mobil', 'site', 'broken,', 'show', '""{{header.elevateuser.numofpointsavail', 'number}}', 'points"",', ""won't"", 'checkin']"
-1,"['realli', 'look', 'forward', 'flight.', 'know', 'when', 'will', 'rescheduled?', '#diehardvirgin']"
-1,"['cancel', 'flight', 'flight', 'vx413?', 'delayed,', 'airport,', 'next', 'cancel', 'flightled?gonna', 'email', 'call', 'reschedule?']"
-1,"['there', 'problem', 'link', 'from', 'email', 'check-in.', 'thank']"
-1,"['chang', 'anoth', 'airlin', 'today', 'abl', 'land', 'you?', 'cost', '$800', '...ugh']"
-1,"['look', 'forward', 'first', 'flight', 'with', 'today', 'cancel', 'flightl', 'along', 'with', 'subsequ']"
1,"['when', 'put', 'some', 'great', 'deal', 'from', 'from', 'show', 'your', 'love!']"
1,"['wish', 'afford', 'with', 'next', 'friday', 'go', 'back', 'home..', 'love', 'everyth', 'about', 'your', 'airlin']"
-1,"['gonna', 'have', 'deal', 'from', 'dalla', 'deal', 'from', 'dallas?', '#sad']"
0,"['it’', 'just', 'report,', 'guy']"
-1,"['hold', 'time', 'call', 'center', 'much']"
1,['like']
-1,"['site', 'down?', '#help']"
1,"['have', 'best', 'flight', 'attend', 'ever!!!']"
1,"['awesome!', 'watch', 'nomin', 'film', '35,000', 'feet.', '#meetthefleet', '#oscar']"
1,"['thank', 'much!']"
-1,"['tri', 'reset', 'password,', 'email', 'never', 'arrives.', 'help?']"
1,"['onli', 'airlin', 'base', 'silicon', 'valley!', '#disrupt', '#fcmostinnov', '#incub']"
1,"['veri', 'nice', 'done.']"
1,"['look', 'forward', 'watch', 'oscar', 'flight', 'home', 'tomorrow.', 'might', 'even', 'someth', 'bubbl', 'drink!']"
-1,"['what', 'reason', 'delay', 'departur', 'from', 'thi', 'afternoon?']"
-1,"['today', 'flight', 'from', 'palm', 'springs,', 'cancel', 'flightled?']"
1,"['hahaha', 'guy', 'amazing.', 'love', 'guys!!!💗']"
1,"['sound', 'like']"
0,"['updat', 'flight', 'from', '&gt;']"
0,"['spruce', 'moose!']"
-1,"['your', 'site', 'right', 'now,', 'pleas', 'fix.', 'site', 'unusable.']"
-1,"[""we'r"", 'flight', 'vega', 'boston', 'today,', 'check', 'onlin', 'count', ""didn't"", 'register.', 'that', 'somehow?']"
1,"['classiq,', 'virgin', 'america.', 'greetingz']"
-1,"['tri', 'check-in', 'websit', 'working.', 'tri', 'differ', 'browser', 'problem', 'continu']"
1,"['thank', 'your', 'great', 'custom', 'servic', 'today', '&amp;', 'help', 'travel', 'sort', 'out!']"
1,"['thank', 'guys!', 'sweet', 'rout', 'over', 'rocki', '#airplanemodewason']"
1,"['love', 'music', 'blast', 'gate', '#boston', 'while', 'wait', 'flight', '#sanfrancisco.', 'onli', 'could', 'ice', 'coffee!']"
-1,"['passeng', 'that', 'assault', ""shouldn't"", 'have', 'flown.', 'trust', ""he'"", 'banned.', 'crew', 'file', 'report']"
-1,"['current', 'websit', 'show', '‘select', 'departur', 'city’', 'when', 'select', 'destin', 'citi']"
-1,"['luggag', 'sever', 'dented/miss', 'wheel', 'come', 'baggag', 'claim', 'san.', 'luggag', 'agent', 'miranda', 'think)', ""wasn't"", 'help.']"
1,"['thank', 'easi', 'itinerari', 'shift', 'impend', 'weather.', 'quick,', 'painless', '&amp;', 'free.']"
0,"[""you'd"", 'love', 'more', 'girl', 'inspir', 'becom', 'pilots,', 'free', 'woaw', 'event', 'march', 'abq.']"
1,"['thanks!', 'good', 'time', 'there', 'back!', '#vodkaton', 'entir', 'flight🍸#sfo']"
0,"['beat', 'expectations,', 'share', 'take', 'santa', 'cruz', 'sentinel']"
0,"['plan', 'start', 'fli', 'direct', 'from', 'las?']"
0,"['love/gratitude.mpow', 'werin', '#oscars2105', 'vipswagbag', '#avalonhollywood']"
1,"[""you'r"", 'do', 'great', 'ad', 'littl', 'luxuries/aesthet', 'that', 'improv', 'travel', 'experience.', 'thank', 'you.', 'keep']"
-1,"['request', 'window', 'seat', 'confirm', 'window', 'stuck', 'middl', 'seat.', 'good', 'treat', 'silver', 'member😒']"
0,"['grand', 'budapest', 'hotel', '#oscarscountdown']"
0,"['thi', 'what', 'miss', 'next', 'trip', '407.']"
-1,"['#wtf', 'paid', 'direct', 'flight', 'purpos', 'have', 'stop', 'fuel', 'exhaust', 'frequent', 'flier', 'noth', 'inconvenience!']"
-1,"['there', 'someth', 'wrong', 'with', 'websit', 'safari', 'iphon']"
1,"['thank', 'gate', 'check', 'baggag', 'your', 'full', 'flight', 'dfw-lax', 'give', 'earli', 'board', '#sweet']"
-1,"['alreadi', 'check', 'page', 'expir']"
-1,"['refund', 'seat', 'upgrad', 'want', 'first', 'place!']"
0,"['share', 'rise', 'financi', 'result', 'today']"
0,"['add', 'pillow', 'instead', 'lie-flat', 'seat', 'first', 'class', 'arm', 'race']"
1,"['what', 'there']"
0,"['take', 'advantag', '#mayweatherpacquiao']"
0,"['know', 'fli', 'virgin', 'fight', '#mayweatherpacquiao']"
1,"['your', 'inflight', 'team', 'make', 'experi', '#amazing!']"
1,"['cutest', 'salt', 'pepper', 'shaker', 'ever.', 'just', 'when', 'think', 'guy', ""can't"", 'better', 'just']"
-1,"['move', 'seat', 'with', 'notice.', '""better', 'seat""', 'cabin', 'select', 'behind', 'selected👎', '#disappoint']"
0,"['share', 'result']"
1,['airlin']
1,"['have', 'femal', 'pilot!', 'sweet!', 'sfo!']"
0,"['👍👍✈️✈️💗', 'when', 'guy', 'go', 'start', 'fli', 'paris?', ""you'r"", 'welcome.”']"
0,"['what', 'your', 'polici', 'fli', 'after', 'surgery?', 'still', 'wait', 'answer', 'tell', 'doctor.']"
-1,"['alreadi', 'contact', 'central', 'baggag', '&amp;', 'sent', 'charg', 'dress', 'that', 'lost', 'suitcas', '#help']"
1,"['thank', 'you!!']"
-1,"['there', 'anyth', 'go', 'with', 'website?', ""i'v"", 'been', 'get', 'error', 'past', 'minutes.']"
